id,feature_name_fr,feature_parent,feature_grandpa,tree_depth,Nom complet,Relation,Ceramic_Relation,Nom abrégé avec la relation
41, └ Glaçure plombifère,40,35,2,Glaçure plombifère,is-a,Has_revetement,Glaçure ou émail
42, └ Émail,40,35,2,Émail,is-a,Has_revetement,Glaçure ou émail
43, └ Glaçure alcaline,40,35,2,Glaçure alcaline,is-a,Has_revetement,Glaçure ou émail
44, └ Glaçure alcalino-plombifère,40,35,2,Glaçure alcalino-plombifère,is-a,Has_revetement,Glaçure ou émail
45, └ Glaçure au sel,40,35,2,Glaçure au sel,is-a,Has_revetement,Glaçure ou émail
46,└ Engobe,35,35,1,Engobe,is-a,Has_revetement,revêtement 
56,Technique de décor or aspect de surface,,0,0,Technique de décor or aspect de surface,,Has_Technique de décor or aspect de surface,
36,└ Aspect de surface,56,56,1,Aspect de surface ,is-a,Has_Aspect de surface,Technique de décor or aspect de surface
38, └ Lissage,36,56,2,Lissage à la surface,is-a,Has_Aspect de surface,Aspect de surface 
39, └ Blanchissement de surface,36,56,2,Blanchissement de surface,is-a,Has_Aspect de surface,Aspect de surface 
107, └ Surface craquelée-bleutée,36,56,2,Surface craquelée-bleutée,is-a,Has_Aspect de surface,Aspect de surface 
108, └ Cannelures,36,56,2,Surface à cannelures,is-a,Has_Aspect de surface,Aspect de surface 
57,└ Technique de décor,56,56,1,Technique de décor,is-a,Has_technique de décor,Technique de décor or aspect de surface
58, └ Polissage,57,56,2,Décor de polissage,is-a,Has_technique de décor,Technique de décor
59, └ Incisée,57,56,2,Décor incisé,is-a,Has_technique de décor,Technique de décor
60," └ Peinte, pigment",57,56,2,Décor peint au pigment,is-a,Has_technique de décor,Technique de décor
61," └ Peinte, glaçure/émail",57,56,2,Décor peint en glaçure ou à l’émail,is-a,Has_technique de décor,Technique de décor
62," └ Peinte, structuré engobe",57,56,2,"Décor structuré, peint à l’engobe",is-a,Has_technique de décor,Technique de décor
63," └ Peinte, mêlé engobe et glaçure",57,56,2,"Décor mêlé, peint à l’engobe et à la glaçure",is-a,Has_technique de décor,Technique de décor
64, └ Excisé,57,56,2,Décor excisé,is-a,Has_technique de décor,Technique de décor
65, └ Imprimé,57,56,2,Décor imprimé,is-a,Has_technique de décor,Technique de décor
66,  └ Imprimé à la molette,65,56,3,Décor imprimé à la molette,is-a,Has_technique de décor,Technique de décor
67,  └ Imprimé au poinçon ou au tampon,65,56,3,Décor imprimé au poinçon ou au tampon,is-a,Has_technique de décor,Technique de décor
68, └ Repoussé,57,56,2,Décor repoussé,is-a,Has_technique de décor,Technique de décor
69, └ Moulé,57,56,2,Décor moulé,is-a,Has_technique de décor,Technique de décor
70, └ Appliqué libre,57,56,2,Décor appliqué libre,is-a,Has_technique de décor,Technique de décor
71, └ Moulé appliqué,57,56,2,Décor moulé et rapporté,is-a,Has_technique de décor,Technique de décor
72, └ Découpé,57,56,2,Décor découpé,is-a,Has_technique de décor,Technique de décor
73, └ Transfert,57,56,2,Décor réalisé au transfert,is-a,Has_technique de décor,Technique de décor
74, └ Au pochoir,57,56,2,Décor réalisé au pochoir,is-a,Has_technique de décor,Technique de décor
75, └ A l'éponge,57,56,2,Décor réalisé à l’éponge,is-a,Has_technique de décor,Technique de décor
77, └ Guilloché,57,56,2,Décor guilloché,is-a,Has_technique de décor,Technique de décor
88, └ Digité,57,56,2,Décor digité,is-a,Has_technique de décor,Technique de décor
89, └ Hachuré,57,56,2,Décor hachuré,is-a,Has_technique de décor,Technique de décor
92," └ Peinte, lustre métallique",57,56,2,Décor peint au lustre métallique,is-a,Has_technique de décor,Technique de décor
101, └ Festonné,57,56,2,Décor festonné,is-a,Has_technique de décor,Technique de décor
103, └ Incisée et/ou imprimée au peigne,57,56,2,Decor incisé ou imprimé au peinge,is-a,Has_technique de décor,Technique de décor
106, └ Au tampon,57,56,2,Décor peint au tampon,is-a,Has_technique de décor,Technique de décor
