,id,feature_id,object_id
308,11607,3,956
309,11608,49,956
310,11609,16,956
311,11610,42,956
312,4764,61,259
313,4794,49,265
314,4795,11,265
315,4796,16,265
316,4797,42,265
317,4822,49,124
318,4823,16,124
319,4824,3,124
320,4825,41,124
321,4846,49,292
322,4847,16,292
323,4848,3,292
324,33379,49,1507
325,33380,3,1507
326,33381,16,1507
327,33382,61,1507
328,17593,49,1208
329,17594,3,1208
330,17595,18,1208
331,17596,70,1208
332,4849,37,292
333,5122,3,376
334,5123,19,376
335,5124,49,376
336,5125,41,376
337,5143,3,382
338,39865,37,1960
339,40081,16,1909
340,40082,37,1909
341,40173,49,1880
342,4926,49,331
343,4927,16,331
344,4928,3,331
345,4929,42,331
346,4930,61,331
347,4951,49,336
348,4952,16,336
349,2287,49,119
350,2288,16,119
351,4953,3,336
352,4954,42,336
353,4972,3,341
354,4973,42,341
355,4974,61,341
356,4985,49,344
357,4986,16,344
358,4987,3,344
359,4988,42,344
360,4989,61,344
361,4999,49,347
362,5000,16,347
363,5001,3,347
364,5002,37,347
365,5011,49,350
366,40174,16,1880
367,40175,3,1880
368,131617,37,9206
369,131618,17,9206
370,5012,16,350
371,2008,16,66
372,5013,3,350
373,5014,41,350
374,5015,7,350
375,5024,49,354
376,5025,16,354
377,5026,3,354
378,5027,42,354
379,5038,49,355
380,5039,16,355
381,2009,49,66
382,2010,3,66
383,11611,61,956
384,17597,37,1208
385,17681,49,1386
386,17682,16,1386
387,2011,37,66
388,5040,3,355
389,5041,42,355
390,5042,7,355
391,17683,37,1386
392,2061,49,74
393,2062,16,74
394,2063,3,74
395,2064,37,74
396,127225,16,2312
397,21072,37,1571
398,21174,49,1581
399,21175,16,1581
400,39974,49,1928
401,5144,19,382
402,5145,49,382
403,5146,41,382
404,5160,19,386
405,6923,3,420
406,6924,19,420
407,6925,49,420
408,6926,41,420
409,11715,3,966
410,11716,49,966
411,11717,18,966
412,5098,3,369
413,5099,19,369
414,5100,49,369
415,5101,41,369
416,5106,3,371
417,5107,19,371
418,5108,49,371
419,5109,41,371
420,5114,3,373
421,5115,19,373
422,5116,49,373
423,5117,41,373
424,5161,49,386
425,5162,41,386
426,11718,41,966
427,6995,3,405
428,6996,19,405
429,39975,3,1928
430,39976,16,1928
431,39977,41,1928
432,135377,3,8180
433,135378,16,8180
434,135379,49,8180
435,33383,42,1507
436,33535,49,1953
437,4798,49,266
438,4799,11,266
439,4800,16,266
440,4801,42,266
441,4826,49,132
442,21073,49,1570
443,21074,3,1570
444,21075,18,1570
445,21076,37,1570
446,21176,37,1581
447,21177,38,1581
448,21242,49,1591
449,21243,16,1591
450,8474,3,598
451,8475,49,598
452,4827,16,132
453,4828,3,132
454,4829,37,132
455,71873,49,1705
456,8476,16,598
457,8477,41,598
458,6927,3,419
459,6928,19,419
460,33536,3,1953
461,33537,37,1953
462,33538,38,1953
463,33539,17,1953
464,39866,49,1959
465,39867,3,1959
466,39868,16,1959
467,39869,37,1959
468,19678,49,1475
469,2289,3,119
470,2290,41,119
471,2291,7,119
472,19679,3,1475
473,19680,16,1475
474,19681,37,1475
475,40083,49,1904
476,71874,3,1705
477,71875,16,1705
478,71876,41,1705
479,2022,16,69
480,4931,49,332
481,4932,16,332
482,4933,3,332
483,4934,42,332
484,4935,61,332
485,4955,49,337
486,4956,16,337
487,4957,3,337
488,2329,49,129
489,2330,16,129
490,2023,49,69
491,2024,3,69
492,2025,37,69
493,2031,16,70
494,2032,42,70
495,2033,49,70
496,2034,3,70
497,2331,3,129
498,2332,37,129
499,4958,42,337
500,4959,61,337
501,4975,49,342
502,4976,16,342
503,2065,49,75
504,2066,16,75
505,2067,3,75
506,2068,37,75
507,2073,49,76
508,2074,16,76
509,2075,3,76
510,2076,37,76
511,2077,16,77
512,2078,49,77
513,2079,3,77
514,2080,40,77
515,2085,16,78
516,2086,49,78
517,2087,3,78
518,2088,37,78
519,2093,49,79
520,2094,3,79
521,2095,16,79
522,2096,37,79
523,2101,49,80
524,2102,16,80
525,2103,3,80
526,2104,37,80
527,2105,49,81
528,2106,16,81
529,2107,3,81
530,2108,37,81
531,2109,49,82
532,2110,16,82
533,2111,3,82
534,2112,37,82
535,2118,16,83
536,2119,49,83
537,2120,3,83
538,2121,37,83
539,2132,16,93
540,2133,49,93
541,2134,3,93
542,2135,37,93
543,2136,16,92
544,2137,49,92
545,2138,42,92
546,2139,61,92
547,2140,3,92
548,2141,49,94
549,2142,16,94
550,2143,3,94
551,2144,37,94
552,2145,49,95
553,2146,16,95
554,2147,3,95
555,2148,37,95
556,2157,49,98
557,2158,16,98
558,2159,3,98
559,2160,37,98
560,2166,49,99
561,2167,16,99
562,2168,3,99
563,2169,37,99
564,2170,49,100
565,2171,16,100
566,2172,3,100
567,2173,37,100
568,2174,49,101
569,2175,16,101
570,2176,3,101
